name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Dynamite,BTS,0t1kP63rueHleOhQkYSXFY,0.746,0.765,-4.41,0.0993,0.0112,114.044,0.0936,0.737
Savage Love (Laxed - Siren Beat),Jawsh 685,1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,-8.52,0.0803,0.234,150.076,0.269,0.761
Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,4TgxFMOn5yoESW6zCidCXL,0.758,0.598,-5.695,0.0868,0.16,149.836,0.295,0.658
Ice Cream (with Selena Gomez),BLACKPINK,60jpDubMmVyR5molJp2TCm,0.791,0.733,-3.852,0.35,0.0305,159.974,0.0423,0.913
Se Te Nota (with Guaynaa),Lele Pons,11EnQRgRMJwMAesfkB5pnu,0.905,0.686,-3.152,0.0664,0.0907,103.013,0.266,0.963
Mere Dholna,Pritam,2R4zzmPXIFuBH0BqdWDkfC,0.68,0.973,-2.881,0.122,0.414,115.061,0.216,0.727
Soja Zara,Madhushree,6H5HH4T4K1cyHdUGEJ1pzV,0.766,0.563,-9.075,0.0518,0.724,105.025,0.119,0.73
Aaj Jane Ki Zid Na Karo,Farida Khanum,6XFGKGOjlwXWm12DHV1CWc,0.297,0.284,-6.894,0.0354,0.535,35.847,0.31,0.178
Dhadak Title Track,Ajay Gogavale,6Gx3Ry4ORogdMibbdITOuN,0.375,0.312,-10.656,0.031,0.85,77.527,0.137,0.22
"Raabta (Title Track) [From ""Raabta""]",Pritam,4e9dIemIXO8Tzg0k4aWujk,0.636,0.701,-6.825,0.0363,0.414,113.886,0.106,0.352
Ae Dil Hai Mushkil Title Track,Pritam,1UWacd8x8tPPwmrPB1MoBI,0.495,0.654,-6.639,0.0679,0.713,123.896,0.165,0.35
Kaisi Paheli Zindagani,Sunidhi Chauhan,2lCjVXsbBB1rOJ5BGbprZ2,0.729,0.314,-13.662,0.0629,0.529,119.871,0.0718,0.754
Agar Tum Saath Ho,Alka Yagnik,3hkC9EHFZNQPXrtl8WPHnX,0.562,0.519,-8.744,0.0326,0.557,122.925,0.172,0.415
Kalank (Title Track),Arijit Singh,6vo7Y1iWyZvpjvFbf6BiZ5,0.57,0.55,-8.343,0.035,0.524,117.999,0.0921,0.435
Moh Moh Ke Dhaage (Male),Anu Malik,189DQylImZ1hGZaIpAQUzx,0.634,0.344,-11.011,0.0288,0.741,128.0,0.111,0.409
Moh Moh Ke Dhaage (Female),Anu Malik,7uubRr0u9Zxc1Y84hEn7Xf,0.585,0.399,-8.133,0.0286,0.849,128.03,0.123,0.349
Moh Moh Ke Dhaage (MTV Unplugged),Anu Malik,1K4eZtD1cz605Ir5fPovMM,0.56,0.406,-13.604,0.0328,0.5,137.979,0.117,0.384
Sur Niragas Ho,Shankar Mahadevan,13ZSQwrx2EDXlAJYwEjak7,0.447,0.495,-9.766,0.0329,0.712,99.942,0.386,0.404
Man Mandira,Shankar Mahadevan,2WQwk9YwLmwyOgDHa2WiVk,0.478,0.594,-9.752,0.0413,0.471,107.636,0.0718,0.536
Katyar Kaljat Ghusli - Theme Song,Shankar-Ehsaan-Loy,57GrqrtHF1Y1VywAZbiELC,0.789,0.387,-11.84,0.0309,0.965,111.006,0.0608,0.244
"Aaj Ibaadat (From ""Bajirao Mastani"")",Javed Bashir,6gEV0FyOnybSM82m16Y1Oi,0.492,0.628,-5.032,0.0302,0.562,111.718,0.0954,0.211
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2y5aJvzXhHPA94U5GFAcXe,0.734,0.442,-8.432,0.0557,0.0594,117.967,0.213,0.0973
Look What You Made Me Do,Taylor Swift,1P17dC1amhFzptugyAO7Il,0.766,0.709,-6.471,0.123,0.204,128.07,0.126,0.506
I Knew You Were Trouble.,Taylor Swift,0ciHz919LVKoH4zgxyMPZ9,0.622,0.469,-6.798,0.0363,0.00454,77.019,0.0398,0.679
You Need To Calm Down,Taylor Swift,29fRTIKsJhLUJoldM89GZS,0.768,0.678,-5.604,0.0505,0.00838,85.025,0.0596,0.706
Blank Space,Taylor Swift,2sC2P3BN0IXujNaaSyDmtP,0.76,0.703,-5.412,0.054,0.103,95.997,0.0913,0.57
Ve Maahi,Arijit Singh,4t1DkxexoMbIHfSHS4Uiyr,0.65,0.551,-6.906,0.0274,0.405,102.934,0.219,0.294
Kalank (Title Track),Arijit Singh,1Y8jKq7CYLEW6PWp11jWZC,0.57,0.55,-8.343,0.035,0.524,117.999,0.0921,0.435
Suit Suit,Guru Randhawa,5Nd4DTIDWYkkZfi1NpgvJk,0.767,0.869,-3.381,0.0908,0.14,98.208,0.221,0.751
The Jawaani Song,Vishal-Shekhar,3IzQc4KEAFd8lIc90X7FZr,0.71,0.801,-4.845,0.0896,0.0728,145.102,0.0744,0.845
Aankh Marey,Neha Kakkar,2UE5pVmMGjfD5XUQTpYpD6,0.796,0.978,-1.266,0.0955,0.289,129.999,0.346,0.8
